intersection_name,city_name,synchro_INTID,file_name,intersection_id,reversed_intersection_name,full_name_intersection,full_name_intersection_reversed,distance_from_full_name,coord_x,coord_y
Mill Avenue & Hermosa Drive," Tempe, AZ",139,,122, Hermosa Drive & Mill Avenue,"Mill Avenue & Hermosa Drive,  Tempe, AZ"," Hermosa Drive & Mill Avenue,  Tempe, AZ",0.0,-111.93950998221501,33.38819001027764
Priest Drive & US 60 WB," Tempe, AZ",140,,123, US 60 WB & Priest Drive,"Priest Drive & US 60 WB,  Tempe, AZ"," US 60 WB & Priest Drive,  Tempe, AZ",0.0,-111.96091996131507,33.38758001727404
Mill Avenue & US 60 WB," Tempe, AZ",141,,124, US 60 WB & Mill Avenue,"Mill Avenue & US 60 WB,  Tempe, AZ"," US 60 WB & Mill Avenue,  Tempe, AZ",0.0,-111.93949003328547,33.38565000024887
Rural Road & US 60 WB," Tempe, AZ",142,,125, US 60 WB & Rural Road,"Rural Road & US 60 WB,  Tempe, AZ"," US 60 WB & Rural Road,  Tempe, AZ",0.0,-111.92657997455755,33.38569999830132
Rio Salado Parkway & 1st Street," Tempe, AZ",143,,126, 1st Street & Rio Salado Parkway,"Rio Salado Parkway & 1st Street,  Tempe, AZ"," 1st Street & Rio Salado Parkway,  Tempe, AZ",0.0,-111.96966999767798,33.42907999336211
McClintock Drive & US 60 WB," Tempe, AZ",144,,127, US 60 WB & McClintock Drive,"McClintock Drive & US 60 WB,  Tempe, AZ"," US 60 WB & McClintock Drive,  Tempe, AZ",12029.898424228619,,
Rural Road & Embassy Suites," Tempe, AZ",147,,128, Embassy Suites & Rural Road,"Rural Road & Embassy Suites,  Tempe, AZ"," Embassy Suites & Rural Road,  Tempe, AZ",0.0,-111.92882999999995,33.38412000000005
Rural Road & Southshore," Tempe, AZ",149,,129, Southshore & Rural Road,"Rural Road & Southshore,  Tempe, AZ"," Southshore & Rural Road,  Tempe, AZ",12031.984161312754,,
Rural Road & Minton," Tempe, AZ",150,,130, Minton & Rural Road,"Rural Road & Minton,  Tempe, AZ"," Minton & Rural Road,  Tempe, AZ",0.0,-111.92850001711794,33.37992997997438
Calle Los Cerros & Baseline," Tempe, AZ",152,,131, Baseline & Calle Los Cerros,"Calle Los Cerros & Baseline,  Tempe, AZ"," Baseline & Calle Los Cerros,  Tempe, AZ",12035.9564134891,,
Point Pkwy & Baseline," Tempe, AZ",153,,132, Baseline & Point Pkwy,"Point Pkwy & Baseline,  Tempe, AZ"," Baseline & Point Pkwy,  Tempe, AZ",12034.489077442122,,
Wendler & Baseline," Tempe, AZ",154,,133, Baseline & Wendler,"Wendler & Baseline,  Tempe, AZ"," Baseline & Wendler,  Tempe, AZ",0.0,-111.9697399865695,33.378349991225804
I-10 EB on-ramp & Baseline," Tempe, AZ",155,,134, Baseline & I-10 EB on-ramp,"I-10 EB on-ramp & Baseline,  Tempe, AZ"," Baseline & I-10 EB on-ramp,  Tempe, AZ",0.0,-111.96812001614278,33.37836998206487
Priest Drive & Baseline," Tempe, AZ",156,,135, Baseline & Priest Drive,"Priest Drive & Baseline,  Tempe, AZ"," Baseline & Priest Drive,  Tempe, AZ",0.0,-111.96316002493872,33.37824999512091
Darrow Dr & Baseline," Tempe, AZ",157,,136, Baseline & Darrow Dr,"Darrow Dr & Baseline,  Tempe, AZ"," Baseline & Darrow Dr,  Tempe, AZ",0.0,-111.96112003734387,33.37824999512091
Hardy & Baseline," Tempe, AZ",159,,137, Baseline & Hardy,"Hardy & Baseline,  Tempe, AZ"," Baseline & Hardy,  Tempe, AZ",12033.997764640639,,
Kyrene & Baseline," Tempe, AZ",160,,138, Baseline & Kyrene,"Kyrene & Baseline,  Tempe, AZ"," Baseline & Kyrene,  Tempe, AZ",0.0,-111.943860022325,33.37821001344277
Mill Avenue & Baseline," Tempe, AZ",162,,139, Baseline & Mill Avenue,"Mill Avenue & Baseline,  Tempe, AZ"," Baseline & Mill Avenue,  Tempe, AZ",0.0,-111.9393499716834,33.378219987907556
College & Baseline," Tempe, AZ",163,,140, Baseline & College,"College & Baseline,  Tempe, AZ"," Baseline & College,  Tempe, AZ",0.0,-111.93524996374512,33.378230004281846
Rural Road & Baseline," Tempe, AZ",165,,141, Baseline & Rural Road,"Rural Road & Baseline,  Tempe, AZ"," Baseline & Rural Road,  Tempe, AZ",12031.841267898271,,
Lakeshore & Baseline," Tempe, AZ",166,,142, Baseline & Lakeshore,"Lakeshore & Baseline,  Tempe, AZ"," Baseline & Lakeshore,  Tempe, AZ",0.0,-111.92056998234268,33.378319984012435
McClintock Drive & Baseline," Tempe, AZ",168,,143, Baseline & McClintock Drive,"McClintock Drive & Baseline,  Tempe, AZ"," Baseline & McClintock Drive,  Tempe, AZ",0.0,-111.90926002893097,33.378429996491604
County Club Way & Baseline," Tempe, AZ",170,,144, Baseline & County Club Way,"County Club Way & Baseline,  Tempe, AZ"," Baseline & County Club Way,  Tempe, AZ",12031.478738373075,,
Priest & Grove Parkway," Tempe, AZ",171,,145, Grove Parkway & Priest,"Priest & Grove Parkway,  Tempe, AZ"," Grove Parkway & Priest,  Tempe, AZ",12035.547942804647,,
Price Freeway SB & Baseline," Tempe, AZ",172,,146, Baseline & Price Freeway SB,"Price Freeway SB & Baseline,  Tempe, AZ"," Baseline & Price Freeway SB,  Tempe, AZ",0.0,-111.89296996774756,33.37854000897079
Rural Road & Westchester," Tempe, AZ",174,,147, Westchester & Rural Road,"Rural Road & Westchester,  Tempe, AZ"," Westchester & Rural Road,  Tempe, AZ",0.0,-111.92861996215238,33.36739999864595
McClintock Drive & Southshore & Cornell," Tempe, AZ",175,,148, Southshore  & McClintock Drive,"McClintock Drive & Southshore & Cornell,  Tempe, AZ"," Southshore  & McClintock Drive,  Tempe, AZ",0.0,-111.9113000165258,33.37222001206699
McClintock Drive & Watson," Tempe, AZ",177,,149, Watson & McClintock Drive,"McClintock Drive & Watson,  Tempe, AZ"," Watson & McClintock Drive,  Tempe, AZ",12030.475301380578,,
Hardy & Guadalupe," Tempe, AZ",178,,150, Guadalupe & Hardy,"Hardy & Guadalupe,  Tempe, AZ"," Guadalupe & Hardy,  Tempe, AZ",0.0,-111.95450998468068,33.363670009823366
Kyrene & Guadalupe," Tempe, AZ",180,,151, Guadalupe & Kyrene,"Kyrene & Guadalupe,  Tempe, AZ"," Guadalupe & Kyrene,  Tempe, AZ",0.0,-111.94587997717126,33.36365001898429
Maple & Guadalupe," Tempe, AZ",181,,152, Guadalupe & Maple,"Maple & Guadalupe,  Tempe, AZ"," Guadalupe & Maple,  Tempe, AZ",12033.126300326388,,
Rural Road & Guadalupe," Tempe, AZ",183,,153, Guadalupe & Rural Road,"Rural Road & Guadalupe,  Tempe, AZ"," Guadalupe & Rural Road,  Tempe, AZ",0.0,-111.92860001322282,33.36375001508917
Lakeshore & Guadalupe," Tempe, AZ",184,,154, Guadalupe & Lakeshore,"Lakeshore & Guadalupe,  Tempe, AZ"," Guadalupe & Lakeshore,  Tempe, AZ",12031.393350924754,,
McClintock Drive & Guadalupe," Tempe, AZ",186,,155, Guadalupe & McClintock Drive,"McClintock Drive & Guadalupe,  Tempe, AZ"," Guadalupe & McClintock Drive,  Tempe, AZ",0.0,-111.91123002763429,33.363770005928245
Country Club Way & Guadalupe," Tempe, AZ",188,,156, Guadalupe & Country Club Way,"Country Club Way & Guadalupe,  Tempe, AZ"," Guadalupe & Country Club Way,  Tempe, AZ",0.0,-111.90260002012485,33.36380998760639
Price Freeway NB & Guadalupe," Tempe, AZ",191,,157, Guadalupe & Price Freeway NB,"Price Freeway NB & Guadalupe,  Tempe, AZ"," Guadalupe & Price Freeway NB,  Tempe, AZ",0.0,-111.8938100020838,33.36395000729894
Rural Road & Bell De Mar," Tempe, AZ",193,,158, Bell De Mar & Rural Road,"Rural Road & Bell De Mar,  Tempe, AZ"," Bell De Mar & Rural Road,  Tempe, AZ",12032.316709595516,,
McClintock Drive & Bell De Mar," Tempe, AZ",195,,159, Bell De Mar & McClintock Drive,"McClintock Drive & Bell De Mar,  Tempe, AZ"," Bell De Mar & McClintock Drive,  Tempe, AZ",0.0,0.0,0.0
Kyrene & Grove Parkway," Tempe, AZ",196,,160, Grove Parkway & Kyrene,"Kyrene & Grove Parkway,  Tempe, AZ"," Grove Parkway & Kyrene,  Tempe, AZ",0.0,-111.94767999087819,33.35482001926509
Rural Road & Western Canal Path," Tempe, AZ",197,,161, Western Canal Path & Rural Road,"Rural Road & Western Canal Path,  Tempe, AZ"," Western Canal Path & Rural Road,  Tempe, AZ",0.0,-111.9583596860041,33.38580860776606
McClintock Drive & Western Canal Path," Tempe, AZ",198,,162, Western Canal Path & McClintock Drive,"McClintock Drive & Western Canal Path,  Tempe, AZ"," Western Canal Path & McClintock Drive,  Tempe, AZ",0.0,-111.93723999999997,33.42551000000003
Mill Avenue & Apache Boulevard," Tempe, AZ",201,,163, Apache Boulevard & Mill Avenue,"Mill Avenue & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Mill Avenue,  Tempe, AZ",0.0,-111.93996998106128,33.417060008932395
I-10 EB & Elliot," Tempe, AZ",202,,164, Elliot & I-10 EB,"I-10 EB & Elliot,  Tempe, AZ"," Elliot & I-10 EB,  Tempe, AZ",0.0,-111.97206001354944,33.348969995672334
Harl & Elliot," Tempe, AZ",203,,165, Elliot & Harl,"Harl & Elliot,  Tempe, AZ"," Elliot & Harl,  Tempe, AZ",0.0,-111.96589998526774,33.34914999704303
Priest & Elliot," Tempe, AZ",204,,166, Elliot & Priest,"Priest & Elliot,  Tempe, AZ"," Elliot & Priest,  Tempe, AZ",12035.677386726224,,
Beck & Elliot," Tempe, AZ",205,,167, Elliot & Beck,"Beck & Elliot,  Tempe, AZ"," Elliot & Beck,  Tempe, AZ",0.0,-111.9540506369522,33.34922604642852
Hardy & Elliot," Tempe, AZ",206,,168, Elliot & Hardy,"Hardy & Elliot,  Tempe, AZ"," Elliot & Hardy,  Tempe, AZ",0.0,-111.95444997025395,33.34906999177721
Kyrene & Elliot," Tempe, AZ",208,,169, Elliot & Kyrene,"Kyrene & Elliot,  Tempe, AZ"," Elliot & Kyrene,  Tempe, AZ",0.0,-111.94573999938822,33.34911998982966
Canal & Elliot," Tempe, AZ",209,,170, Elliot & Canal,"Canal & Elliot,  Tempe, AZ"," Elliot & Canal,  Tempe, AZ",12034.839740270725,,
Rural Road & Elliot," Tempe, AZ",210,,171, Elliot & Rural Road,"Rural Road & Elliot,  Tempe, AZ"," Elliot & Rural Road,  Tempe, AZ",12032.521947212375,,
Lakeshore & Elliot," Tempe, AZ",213,,172, Elliot & Lakeshore,"Lakeshore & Elliot,  Tempe, AZ"," Elliot & Lakeshore,  Tempe, AZ",12031.735885616554,,
McClintock Drive & Elliot," Tempe, AZ",215,,173, Elliot & McClintock Drive,"McClintock Drive & Elliot,  Tempe, AZ"," Elliot & McClintock Drive,  Tempe, AZ",12030.95687679977,,
Los Feliz & Elliot," Tempe, AZ",216,,174, Elliot & Los Feliz,"Los Feliz & Elliot,  Tempe, AZ"," Elliot & Los Feliz,  Tempe, AZ",12030.558734786498,,
River & Elliot," Tempe, AZ",219,,175, Elliot & River,"River & Elliot,  Tempe, AZ"," Elliot & River,  Tempe, AZ",0.0,-111.89794999170022,33.349210011469765
Price Freeway SB & Elliot," Tempe, AZ",220,,176, Elliot & Price Freeway SB,"Price Freeway SB & Elliot,  Tempe, AZ"," Elliot & Price Freeway SB,  Tempe, AZ",0.0,-111.89368997323034,33.34944998535768
Priest & Auto Dr," Tempe, AZ",221,,177, Auto Dr & Priest,"Priest & Auto Dr,  Tempe, AZ"," Auto Dr & Priest,  Tempe, AZ",0.0,-111.96313001772535,33.345489997111954
Rural Road & Carver," Tempe, AZ",222,,178, Carver & Rural Road,"Rural Road & Carver,  Tempe, AZ"," Carver & Rural Road,  Tempe, AZ",0.0,-111.9284400026912,33.341920018820986
Scottsdale Road & Playa Del Norte," Tempe, AZ",224,,179, Playa Del Norte & Scottsdale Road,"Scottsdale Road & Playa Del Norte,  Tempe, AZ"," Playa Del Norte & Scottsdale Road,  Tempe, AZ",12030.278208584772,,
Scottsdale Road & Hancock Avenue," Tempe, AZ",225,,180, Hancock Avenue & Scottsdale Road,"Scottsdale Road & Hancock Avenue,  Tempe, AZ"," Hancock Avenue & Scottsdale Road,  Tempe, AZ",12029.990767910278,,
Priest & Ruby," Tempe, AZ",226,,181, Ruby & Priest,"Priest & Ruby,  Tempe, AZ"," Ruby & Priest,  Tempe, AZ",0.0,-111.96311995944154,33.34020998484465
Harl & Warner," Tempe, AZ",228,,182, Warner & Harl,"Harl & Warner,  Tempe, AZ"," Warner & Harl,  Tempe, AZ",0.0,-111.96668997964201,33.33450999731873
Priest & Warner," Tempe, AZ",229,,183, Warner & Priest,"Priest & Warner,  Tempe, AZ"," Warner & Priest,  Tempe, AZ",12036.017095826446,,
Hardy & Warner," Tempe, AZ",231,,184, Warner & Hardy,"Hardy & Warner,  Tempe, AZ"," Warner & Hardy,  Tempe, AZ",0.0,-111.9543199669357,33.33455999537118
Kyrene & Warner," Tempe, AZ",232,,185, Warner & Kyrene,"Kyrene & Warner,  Tempe, AZ"," Warner & Kyrene,  Tempe, AZ",12034.431016213208,,
Rural Road & Warner," Tempe, AZ",236,,186, Warner & Rural Road,"Rural Road & Warner,  Tempe, AZ"," Warner & Rural Road,  Tempe, AZ",12032.86350151254,,
McClintock Drive & Warner," Tempe, AZ",240,,187, Warner & McClintock Drive,"McClintock Drive & Warner,  Tempe, AZ"," Warner & McClintock Drive,  Tempe, AZ",12031.29966403772,,
Priest & Lisa," Tempe, AZ",243,,188, Lisa & Priest,"Priest & Lisa,  Tempe, AZ"," Lisa & Priest,  Tempe, AZ",0.0,-111.96310001051198,33.32595999507511
River Parkway & Warner," Tempe, AZ",244,,189, Warner & River Parkway,"River Parkway & Warner,  Tempe, AZ"," Warner & River Parkway,  Tempe, AZ",12030.080857158979,,
Price Freeway SB & Warner," Tempe, AZ",245,,190, Warner & Price Freeway SB,"Price Freeway SB & Warner,  Tempe, AZ"," Warner & Price Freeway SB,  Tempe, AZ",0.0,-111.89328001434602,33.33502500240459
52nd Street & Rio Salado Parkway & Bus Maintenance," Tempe, AZ",246,,191, Rio Salado Parkway  & 52nd Street,"52nd Street & Rio Salado Parkway & Bus Maintenance,  Tempe, AZ"," Rio Salado Parkway  & 52nd Street,  Tempe, AZ",12034.331583312107,,
Lakeside Dr & Rio Salado Parkway," Tempe, AZ",247,,192, Rio Salado Parkway & Lakeside Dr,"Lakeside Dr & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Lakeside Dr,  Tempe, AZ",0.0,0.0,0.0
Rural Road & Knox," Tempe, AZ",248,,193, Knox & Rural Road,"Rural Road & Knox,  Tempe, AZ"," Knox & Rural Road,  Tempe, AZ",12033.028223890187,,
Pier Drive & Rio Salado Parkway," Tempe, AZ",249,,194, Rio Salado Parkway & Pier Drive,"Pier Drive & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Pier Drive,  Tempe, AZ",0.0,-111.91790998536996,33.429199980306066
AZ Mills South & Baseline," Tempe, AZ",250,,195, Baseline & AZ Mills South,"AZ Mills South & Baseline,  Tempe, AZ"," Baseline & AZ Mills South,  Tempe, AZ",0.0,-111.96546999363484,33.37839001481346
Priest Drive & AZ Mills East," Tempe, AZ",251,,196, AZ Mills East & Priest Drive,"Priest Drive & AZ Mills East,  Tempe, AZ"," AZ Mills East & Priest Drive,  Tempe, AZ",0.0,-111.96093999406366,33.38466001366483
Darrow Dr & Priest Drive," Tempe, AZ",252,,197, Priest Drive & Darrow Dr,"Darrow Dr & Priest Drive,  Tempe, AZ"," Priest Drive & Darrow Dr,  Tempe, AZ",0.0,-111.96159001065492,33.38064998545714
Rural Road & Alexander Blvd," Tempe, AZ",253,,198, Alexander Blvd & Rural Road,"Rural Road & Alexander Blvd,  Tempe, AZ"," Alexander Blvd & Rural Road,  Tempe, AZ",0.0,-111.92823003601666,33.32379000416202
SR 143 SB & SR 143 & SR 143 NB," Tempe, AZ",264,,199, SR 143  & SR 143 SB,"SR 143 SB & SR 143 & SR 143 NB,  Tempe, AZ"," SR 143  & SR 143 SB,  Tempe, AZ",0.34054803653902,,
Price Freeway NB & Broadway Road," Tempe, AZ",303,,200, Broadway Road & Price Freeway NB,"Price Freeway NB & Broadway Road,  Tempe, AZ"," Broadway Road & Price Freeway NB,  Tempe, AZ",0.0,-111.89105998347097,33.4073600095731
Priest Drive & 202 WB," Tempe, AZ",306,,201, 202 WB & Priest Drive,"Priest Drive & 202 WB,  Tempe, AZ"," 202 WB & Priest Drive,  Tempe, AZ",12036.347786433009,,
202 & 202 EB," Tempe, AZ",317,,202, 202 EB & 202,"202 & 202 EB,  Tempe, AZ"," 202 EB & 202,  Tempe, AZ",0.0,-111.64740996046336,33.20860999785765
Price Freeway NB & Rio Salado Parkway," Tempe, AZ",322,,203, Rio Salado Parkway & Price Freeway NB,"Price Freeway NB & Rio Salado Parkway,  Tempe, AZ"," Rio Salado Parkway & Price Freeway NB,  Tempe, AZ",12027.130788237198,,
Center Pkwy & 202 EB," Tempe, AZ",331,,204, 202 EB & Center Pkwy,"Center Pkwy & 202 EB,  Tempe, AZ"," 202 EB & Center Pkwy,  Tempe, AZ",12032.340290513415,,
Center Pkwy & 202 WB," Tempe, AZ",334,,205, 202 WB & Center Pkwy,"Center Pkwy & 202 WB,  Tempe, AZ"," 202 WB & Center Pkwy,  Tempe, AZ",0.0,-111.94956082678874,33.43608940180878
Price Freeway NB & Southern Ave," Tempe, AZ",335,,206, Southern Ave & Price Freeway NB,"Price Freeway NB & Southern Ave,  Tempe, AZ"," Southern Ave & Price Freeway NB,  Tempe, AZ",12028.074204574748,,
Priest Drive & US 60 EB," Tempe, AZ",340,,207, US 60 EB & Priest Drive,"Priest Drive & US 60 EB,  Tempe, AZ"," US 60 EB & Priest Drive,  Tempe, AZ",0.0,0.0,0.0
Mill Avenue & US 60 EB," Tempe, AZ",341,,208, US 60 EB & Mill Avenue,"Mill Avenue & US 60 EB,  Tempe, AZ"," US 60 EB & Mill Avenue,  Tempe, AZ",12032.64665099191,,
Rural Road & US 60 EB," Tempe, AZ",342,,209, US 60 EB & Rural Road,"Rural Road & US 60 EB,  Tempe, AZ"," US 60 EB & Rural Road,  Tempe, AZ",0.0,-111.92657997455754,33.38548001525247
McClintock Drive & US 60 EB," Tempe, AZ",344,,210, US 60 EB & McClintock Drive,"McClintock Drive & US 60 EB,  Tempe, AZ"," US 60 EB & McClintock Drive,  Tempe, AZ",0.0,-111.90927000339575,33.385600002196426
I-10 WB on-ramp & Baseline," Tempe, AZ",355,,211, Baseline & I-10 WB on-ramp,"I-10 WB on-ramp & Baseline,  Tempe, AZ"," Baseline & I-10 WB on-ramp,  Tempe, AZ",0.0,-111.96785003504152,33.37836998206487
Price Freeway NB & Baseline," Tempe, AZ",372,,212, Baseline & Price Freeway NB,"Price Freeway NB & Baseline,  Tempe, AZ"," Baseline & Price Freeway NB,  Tempe, AZ",0.0,-111.89296996774756,33.37854000897079
Price Freeway SB & Price Freeway NB," Tempe, AZ",391,,213, Price Freeway NB & Price Freeway SB,"Price Freeway SB & Price Freeway NB,  Tempe, AZ"," Price Freeway NB & Price Freeway SB,  Tempe, AZ",0.0,-111.89184397834492,33.38207191379389
I-10 WB & Elliot," Tempe, AZ",402,,214, Elliot & I-10 WB,"I-10 WB & Elliot,  Tempe, AZ"," Elliot & I-10 WB,  Tempe, AZ",0.0,-111.97176999969956,33.348969995672334
Price Freeway NB & Price Freeway SB," Tempe, AZ",411,,215, Price Freeway SB & Price Freeway NB,"Price Freeway NB & Price Freeway SB,  Tempe, AZ"," Price Freeway SB & Price Freeway NB,  Tempe, AZ",0.0,-111.89184397834492,33.38207191379389
Price Freeway NB & Elliot," Tempe, AZ",420,,216, Elliot & Price Freeway NB,"Price Freeway NB & Elliot,  Tempe, AZ"," Elliot & Price Freeway NB,  Tempe, AZ",0.0,-111.89368997323034,33.34944998535768
Price Freeway NB & Warner," Tempe, AZ",445,,217, Warner & Price Freeway NB,"Price Freeway NB & Warner,  Tempe, AZ"," Warner & Price Freeway NB,  Tempe, AZ",0.0,-111.89328001434602,33.33502500240459
Curry & Washington St," Tempe, AZ",474,,218, Washington St & Curry,"Curry & Washington St,  Tempe, AZ"," Washington St & Curry,  Tempe, AZ",0.0,-111.94335501265869,33.437535007688
202 & 202 WB," Tempe, AZ",496,,219, 202 WB & 202,"202 & 202 WB,  Tempe, AZ"," 202 WB & 202,  Tempe, AZ",0.0,-111.64740996046336,33.20860999785765
SR 143 & SR 143 SB & SR 143 NB ," Tempe, AZ",498,,220, SR 143 SB  & SR 143,"SR 143 & SR 143 SB & SR 143 NB ,  Tempe, AZ"," SR 143 SB  & SR 143,  Tempe, AZ",0.0,-111.97827997243883,33.40731998598544
56th St & Washington St," Tempe, AZ",500,,221, Washington St & 56th St,"56th St & Washington St,  Tempe, AZ"," Washington St & 56th St,  Tempe, AZ",0.0,-111.96103001570377,33.44540001984937
Priest Drive & Curry," Tempe, AZ",503,,222, Curry & Priest Drive,"Priest Drive & Curry,  Tempe, AZ"," Curry & Priest Drive,  Tempe, AZ",0.0,-111.96302683398818,33.32039738504338
Papago Hills (Future) & Papago Hills & Curry & Washington St," Tempe, AZ",504,,223, Papago Hills  & Papago Hills (Future),"Papago Hills (Future) & Papago Hills & Curry & Washington St,  Tempe, AZ"," Papago Hills  & Papago Hills (Future),  Tempe, AZ",1.9459404811910495,,
Parkside Drive & Parkside Drive (Future) & Washington St," Tempe, AZ",505,,224, Parkside Drive (Future)  & Parkside Drive,"Parkside Drive & Parkside Drive (Future) & Washington St,  Tempe, AZ"," Parkside Drive (Future)  & Parkside Drive,  Tempe, AZ",0.0,-111.88354996586384,33.209610000815985
Center Pkwy & Washington St," Tempe, AZ",506,,225, Washington St & Center Pkwy,"Center Pkwy & Washington St,  Tempe, AZ"," Washington St & Center Pkwy,  Tempe, AZ",12032.198580598604,,
Center Pkwy Station & Washington St," Tempe, AZ",507,,226, Washington St & Center Pkwy Station,"Center Pkwy Station & Washington St,  Tempe, AZ"," Washington St & Center Pkwy Station,  Tempe, AZ",0.0,-111.94882998799385,33.4392200007286
Ash Street & 3rd Street," Tempe, AZ",509,,227, 3rd Street & Ash Street,"Ash Street & 3rd Street,  Tempe, AZ"," 3rd Street & Ash Street,  Tempe, AZ",12031.931238590234,,
Mill Avenue & 3rd Street," Tempe, AZ",511,,228, 3rd Street & Mill Avenue,"Mill Avenue & 3rd Street,  Tempe, AZ"," 3rd Street & Mill Avenue,  Tempe, AZ",12031.691068868937,,
College Avenue & PED & 5th Street & Veterans Way," Tempe, AZ",512,,229, PED  & College Avenue,"College Avenue & PED & 5th Street & Veterans Way,  Tempe, AZ"," PED  & College Avenue,  Tempe, AZ",12033.577447192043,,
Veterans Ped Cross & Veterans Way," Tempe, AZ",513,,230, Veterans Way & Veterans Ped Cross,"Veterans Ped Cross & Veterans Way,  Tempe, AZ"," Veterans Way & Veterans Ped Cross,  Tempe, AZ",0.0,-110.96828997645913,32.18143999212488
ASU Ped #2 & Veterans Way," Tempe, AZ",514,,231, Veterans Way & ASU Ped #2,"ASU Ped #2 & Veterans Way,  Tempe, AZ"," Veterans Way & ASU Ped #2,  Tempe, AZ",0.0,-111.93472281812032,33.42532989904794
6th Street & Veterans Way," Tempe, AZ",515,,232, Veterans Way & 6th Street,"6th Street & Veterans Way,  Tempe, AZ"," Veterans Way & 6th Street,  Tempe, AZ",0.0,-111.93037999418117,33.42315998087784
McAllister Avenue & Veterans Way & University Drive," Tempe, AZ",516,,233, Veterans Way  & McAllister Avenue,"McAllister Avenue & Veterans Way & University Drive,  Tempe, AZ"," Veterans Way  & McAllister Avenue,  Tempe, AZ",0.0,-111.92892003428607,33.42200000929739
Rural Road & Tyler Street & Terrace Road," Tempe, AZ",517,,234, Tyler Street  & Rural Road,"Rural Road & Tyler Street & Terrace Road,  Tempe, AZ"," Tyler Street  & Rural Road,  Tempe, AZ",12030.613460407061,,
Terrace Road & Ped Crossing," Tempe, AZ",519,,235, Ped Crossing & Terrace Road,"Terrace Road & Ped Crossing,  Tempe, AZ"," Ped Crossing & Terrace Road,  Tempe, AZ",12032.30862766422,,
Lemon Street & Terrace Road," Tempe, AZ",520,,236, Terrace Road & Lemon Street,"Lemon Street & Terrace Road,  Tempe, AZ"," Terrace Road & Lemon Street,  Tempe, AZ",12030.35237520651,,
Terrace Road & Apache Boulevard," Tempe, AZ",521,,237, Apache Boulevard & Terrace Road,"Terrace Road & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Terrace Road,  Tempe, AZ",0.0,-111.92047996070258,33.41488000164502
Dorsey Lane & Apache Boulevard," Tempe, AZ",522,,238, Apache Boulevard & Dorsey Lane,"Dorsey Lane & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Dorsey Lane,  Tempe, AZ",0.0,-111.91767998594683,33.414650002221876
Firestation & Apache Boulevard," Tempe, AZ",523,,239, Apache Boulevard & Firestation,"Firestation & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Firestation,  Tempe, AZ",1.322147930262375,,
Una-Butte Avenue & Apache Boulevard," Tempe, AZ",524,,240, Apache Boulevard & Una-Butte Avenue,"Una-Butte Avenue & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Una-Butte Avenue,  Tempe, AZ",0.0,-111.91231003585845,33.414680009435244
McClintock Drive & Apache Boulevard," Tempe, AZ",525,,241, Apache Boulevard & McClintock Drive,"McClintock Drive & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & McClintock Drive,  Tempe, AZ",0.0,-111.90910999286413,33.41461002054373
Park-n-Ride & Apache Boulevard," Tempe, AZ",526,,242, Apache Boulevard & Park-n-Ride,"Park-n-Ride & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Park-n-Ride,  Tempe, AZ",7.460956929092434,,
Police Substation & Apache Boulevard," Tempe, AZ",527,,243, Apache Boulevard & Police Substation,"Police Substation & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Police Substation,  Tempe, AZ",12028.863260973465,,
Martin Lane & Apache Boulevard," Tempe, AZ",528,,244, Apache Boulevard & Martin Lane,"Martin Lane & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Martin Lane,  Tempe, AZ",0.0,-111.90155001911407,33.41466001859618
River Drive & Apache Boulevard," Tempe, AZ",530,,245, Apache Boulevard & River Drive,"River Drive & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & River Drive,  Tempe, AZ",12028.019742274388,,
Price Freeway SB & Apache Boulevard," Tempe, AZ",532,,246, Apache Boulevard & Price Freeway SB,"Price Freeway SB & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Price Freeway SB,  Tempe, AZ",0.0,-111.89122996846739,33.414680009435244
Price Freeway NB & Apache Boulevard," Tempe, AZ",533,,247, Apache Boulevard & Price Freeway NB,"Price Freeway NB & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Price Freeway NB,  Tempe, AZ",0.0,-111.89122996846739,33.414680009435244
101 Park-n-Ride & Apache Boulevard," Tempe, AZ",534,,248, Apache Boulevard & 101 Park-n-Ride,"101 Park-n-Ride & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & 101 Park-n-Ride,  Tempe, AZ",163.01283033778014,,
Lebanon Lane & Apache Boulevard," Tempe, AZ",536,,249, Apache Boulevard & Lebanon Lane,"Lebanon Lane & Apache Boulevard,  Tempe, AZ"," Apache Boulevard & Lebanon Lane,  Tempe, AZ",0.0,-111.88626000279852,33.414739981952465
