intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
Priest & Warner," Bullhead City, AZ",229,,183,-111.96313001772535,33.33452998815781
Hardy & Warner," Bullhead City, AZ",231,,184,-111.9543199669357,33.33455999537118
Kyrene & Warner," Bullhead City, AZ",232,,185,-111.94567001049671,33.33460999342361
Rural Road & Warner," Bullhead City, AZ",236,,186,-111.92840999547784,33.33467000785035
McClintock Drive & Warner," Bullhead City, AZ",240,,187,-111.91117001320755,33.334650017011285
Priest & Lisa," Bullhead City, AZ",243,,188,-111.96310001051198,33.32595999507511
River Parkway & Warner," Bullhead City, AZ",244,,189,-114.56682770383496,35.179881852501005
Price Freeway SB & Warner," Bullhead City, AZ",245,,190,-111.89282998996454,33.33503001059173
52nd Street & Rio Salado Parkway & Bus Maintenance," Bullhead City, AZ",246,,191,-111.96966999767798,33.42907999336211
Lakeside Dr & Rio Salado Parkway," Bullhead City, AZ",247,,192,-111.94742995870645,33.43091998874718
Rural Road & Knox," Bullhead City, AZ",248,,193,-111.92828996662436,33.32735998245299
Pier Drive & Rio Salado Parkway," Bullhead City, AZ",249,,194,-111.91790998536996,33.429199980306066
AZ Mills South & Baseline," Bullhead City, AZ",250,,195,-114.56923744846321,35.02868123149855
Priest Drive & AZ Mills East," Bullhead City, AZ",251,,196,-111.96273894916729,33.37963143445207
Darrow Dr & Priest Drive," Bullhead City, AZ",252,,197,-111.96159001065492,33.38064998545714
Rural Road & Alexander Blvd," Bullhead City, AZ",253,,198,-111.92823003601666,33.32379000416202
SR 143 SB & SR 143 & SR 143 NB," Bullhead City, AZ",264,,199,-111.97827997243883,33.40731998598544
Price Freeway NB & Broadway Road," Bullhead City, AZ",303,,200,-111.89105998347097,33.4073600095731
Priest Drive & 202 WB," Bullhead City, AZ",306,,201,-114.57717999999994,35.12679000000003
202 & 202 EB," Bullhead City, AZ",317,,202,-111.64740996046336,33.20860999785765
Price Freeway NB & Rio Salado Parkway," Bullhead City, AZ",322,,203,-111.89026998909668,33.42929000194617
Center Pkwy & 202 EB," Bullhead City, AZ",331,,204,-114.574062621234,35.12705114472226
Center Pkwy & 202 WB," Bullhead City, AZ",334,,205,-114.574062621234,35.12705114472226
Price Freeway NB & Southern Ave," Bullhead City, AZ",335,,206,-111.89101002732806,33.392820005953695
Priest Drive & US 60 EB," Bullhead City, AZ",340,,207,-111.96091996131507,33.38758001727404
Mill Avenue & US 60 EB," Bullhead City, AZ",341,,208,-111.93949003328547,33.38548001525247
Rural Road & US 60 EB," Bullhead City, AZ",342,,209,-111.92657997455754,33.38548001525247
McClintock Drive & US 60 EB," Bullhead City, AZ",344,,210,-111.90927000339575,33.385600002196426
I-10 WB on-ramp & Baseline," Bullhead City, AZ",355,,211,-114.61020985868856,35.11216318407922
Price Freeway NB & Baseline," Bullhead City, AZ",372,,212,-114.57717999999994,35.12679000000003
Price Freeway SB & Price Freeway NB," Bullhead City, AZ",391,,213,-111.89184397834492,33.38207191379389
I-10 WB & Elliot," Bullhead City, AZ",402,,214,-111.97176999969956,33.348969995672334
Price Freeway NB & Price Freeway SB," Bullhead City, AZ",411,,215,-111.89184397834492,33.38207191379389
Price Freeway NB & Elliot," Bullhead City, AZ",420,,216,-111.8934140831204,33.34923199342721
Price Freeway NB & Warner," Bullhead City, AZ",445,,217,-111.89282998996454,33.33503001059173
Curry & Washington St," Bullhead City, AZ",474,,218,-118.82749999999999,46.65014000000008
202 & 202 WB," Bullhead City, AZ",496,,219,-111.64740996046336,33.20860999785765
SR 143 & SR 143 SB & SR 143 NB ," Bullhead City, AZ",498,,220,-111.97827997243883,33.40731998598544
56th St & Washington St," Bullhead City, AZ",500,,221,-111.96103001570377,33.44540001984937
Priest Drive & Curry," Bullhead City, AZ",503,,222,-114.57717999999994,35.12679000000003
Papago Hills (Future) & Papago Hills & Curry & Washington St," Bullhead City, AZ",504,,223,,
Parkside Drive & Parkside Drive (Future) & Washington St," Bullhead City, AZ",505,,224,-111.88354996586384,33.209610000815985
Center Pkwy & Washington St," Bullhead City, AZ",506,,225,-122.67244,45.86161000000004
Center Pkwy Station & Washington St," Bullhead City, AZ",507,,226,-114.574062621234,35.12705114472226
Ash Street & 3rd Street," Bullhead City, AZ",509,,227,,
Mill Avenue & 3rd Street," Bullhead City, AZ",511,,228,-114.568243800217,35.145842202044605
College Avenue & PED & 5th Street & Veterans Way," Bullhead City, AZ",512,,229,,
Veterans Ped Cross & Veterans Way," Bullhead City, AZ",513,,230,-114.57717999999994,35.12679000000003
ASU Ped #2 & Veterans Way," Bullhead City, AZ",514,,231,-114.62666765628474,34.97339566609799
6th Street & Veterans Way," Bullhead City, AZ",515,,232,-114.56482514889137,35.151430002949866
McAllister Avenue & Veterans Way & University Drive," Bullhead City, AZ",516,,233,-111.92892003428607,33.42200000929739
Rural Road & Tyler Street & Terrace Road," Bullhead City, AZ",517,,234,,
Terrace Road & Ped Crossing," Bullhead City, AZ",519,,235,-114.62210160835329,35.1186642319836
Lemon Street & Terrace Road," Bullhead City, AZ",520,,236,-114.62210160835329,35.1186642319836
Terrace Road & Apache Boulevard," Bullhead City, AZ",521,,237,-114.60565228902065,35.09101020420399
Dorsey Lane & Apache Boulevard," Bullhead City, AZ",522,,238,-114.60565228902065,35.09101020420399
Firestation & Apache Boulevard," Bullhead City, AZ",523,,239,-114.60565228902065,35.09101020420399
Una-Butte Avenue & Apache Boulevard," Bullhead City, AZ",524,,240,-114.60565228902065,35.09101020420399
McClintock Drive & Apache Boulevard," Bullhead City, AZ",525,,241,-114.60565228902065,35.09101020420399
Park-n-Ride & Apache Boulevard," Bullhead City, AZ",526,,242,-114.60565228902065,35.09101020420399
Police Substation & Apache Boulevard," Bullhead City, AZ",527,,243,-114.60565228902065,35.09101020420399
Martin Lane & Apache Boulevard," Bullhead City, AZ",528,,244,-114.60565228902065,35.09101020420399
River Drive & Apache Boulevard," Bullhead City, AZ",530,,245,-114.60565228902065,35.09101020420399
Price Freeway SB & Apache Boulevard," Bullhead City, AZ",532,,246,-114.60565228902065,35.09101020420399
Price Freeway NB & Apache Boulevard," Bullhead City, AZ",533,,247,-114.60565228902065,35.09101020420399
101 Park-n-Ride & Apache Boulevard," Bullhead City, AZ",534,,248,-114.60565228902065,35.09101020420399
Lebanon Lane & Apache Boulevard," Bullhead City, AZ",536,,249,-114.60565228902065,35.09101020420399
Tempe Canal & Apache Boulevard," Bullhead City, AZ",537,,250,-114.60565228902065,35.09101020420399
48th Street & Baseline," Bullhead City, AZ",744,,251,-114.61020985868856,35.11216318407922
I-10 EB & Warner," Bullhead City, AZ",745,,252,-111.9723500273993,33.33427999789561
I-10 WB & Warner," Bullhead City, AZ",746,,253,-111.97205003908465,33.33427999789561
SR 143 & University Drive," Bullhead City, AZ",747,,254,-111.97803002408614,33.42188999681821
Smith Road & Apache Boulevard," Bullhead City, AZ",1990,,255,-114.60565228902065,35.09101020420399
Lemon Street & McAllister Avenue," Bullhead City, AZ",7054,,256,-114.63421506350751,35.10842437892324
Price Freeway NB & University Drive," Bullhead City, AZ",8055,,257,-111.89107004175479,33.42190998765729
